20: Number of Connected-Weighted-Undirected-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 3, 20,  9.799)
      ( 3, 22, 11.309)
      ( 3, 23, 52.089)
      ( 4,  5,  2.776)
      ( 4,  6, 51.568)
      ( 4,  7,  4.638)
      ( 4,  9,  6.163)
      ( 4, 11, 89.468)
      ( 4, 13, 46.699)
      ( 4, 20,  0.282)
      ( 4, 23, 78.299)
      ( 5,  8, 66.496)
      ( 5, 13, 13.272)
      ( 5, 14, 66.883)
      ( 5, 18, 50.458)
      ( 6,  8, 41.899)
      ( 6,  9, 38.210)
      ( 6, 10, 75.054)
      ( 6, 14, 34.837)
      ( 6, 15, 37.052)
      ( 6, 18, 19.172)
      ( 6, 19,  4.764)
      ( 6, 21, 25.156)
      ( 6, 23, 41.898)
      ( 6, 24, 78.819)
      ( 7,  9, 35.073)
      ( 7, 10, 57.997)
      ( 7, 13, 54.232)
      ( 7, 15, 61.282)
      ( 7, 22, 61.154)
      ( 7, 23,  8.772)
      ( 7, 24, 37.054)
      ( 8, 13, 31.275)
      ( 8, 17, 11.317)
      ( 8, 19, 58.431)
      ( 8, 20, 35.246)
      ( 8, 23, 98.033)
      ( 9, 10, 96.483)
      ( 9, 15, 16.432)
      (10, 12,  8.253)
      (10, 13, 78.660)
      (10, 15,  1.102)
      (10, 18, 87.415)
      (10, 20, 65.474)
      (11, 13, 87.802)
      (11, 15, 78.351)
      (11, 20, 97.136)
      (11, 21, 68.861)
      (12, 13, 69.845)
      (12, 14, 91.801)
      (12, 16, 69.437)
      (12, 20, 66.976)
      (12, 24, 29.135)
      (13, 16, 96.382)
      (13, 20, 96.268)
      (13, 21, 15.503)
      (14, 20, 91.651)
      (14, 22, 30.365)
      (15, 16,  8.923)
      (15, 19, 71.259)
      (15, 21, 93.624)
      (15, 23, 26.010)
      (16, 18, 67.480)
      (16, 21, 73.329)
      (17, 23,  0.424)
      (18, 20, 65.030)
      (18, 21, 37.178)
      (18, 23, 79.771)
      (20, 21,  7.824)
      (20, 22, 44.666)
      (21, 22, 46.038)
      (22, 24, 40.318)
      (23, 24, 42.583) } |E|=94 
---------------- 

** G9: |V|=25
(u, v, weight) E = { 
      ( 0,  1, 40.407)
      ( 0,  2, 54.527)
      ( 0,  3, 35.545)
      ( 0,  5, 65.098)
      ( 0,  7, 55.961)
      ( 0, 10, 13.080)
      ( 0, 19, 12.838)
      ( 0, 21, 59.114)
      ( 0, 22, 79.295)
      ( 0, 24, 44.983)
      ( 1,  4, 98.082)
      ( 1,  6, 72.155)
      ( 1,  8, 40.142)
      ( 1,  9, 79.815)
      ( 1, 14, 24.168)
      ( 1, 19, 70.543)
      ( 2,  3, 47.858)
      ( 2,  5, 66.267)
      ( 2,  6, 13.918)
      ( 2,  7, 95.700)
      ( 2,  8, 77.826)
      ( 2, 13, 89.602)
      ( 2, 14, 12.320)
      ( 2, 16, 64.395)
      ( 2, 19, 88.013)
      ( 2, 20, 69.012)
      ( 2, 22,  1.996)
      ( 2, 23, 42.432)
      ( 2, 24,  7.315)
      ( 3,  4,  0.525)
      ( 3,  6,  7.357)
      ( 3, 20, 57.573)
      ( 3, 21,  8.479)
      ( 3, 24, 95.859)
      ( 4,  5, 94.370)
      ( 4,  6, 74.921)
      ( 4,  9,  2.258)
      ( 4, 13, 24.906)
      ( 4, 21, 53.836)
      ( 4, 22, 16.196)
      ( 5, 10, 29.118)
      ( 5, 13, 87.788)
      ( 5, 14, 29.019)
      ( 5, 16,  2.708)
      ( 5, 19, 93.673)
      ( 5, 22, 92.712)
      ( 6,  9, 79.937)
      ( 6, 12, 84.949)
      ( 6, 13, 89.986)
      ( 6, 15, 94.799)
      ( 6, 16, 40.544)
      ( 6, 18, 15.059)
      ( 6, 22, 90.974)
      ( 7,  8, 14.305)
      ( 7, 11, 26.464)
      ( 7, 14, 38.830)
      ( 7, 15, 85.266)
      ( 7, 20, 89.827)
      ( 7, 22, 79.892)
      ( 8, 13, 60.719)
      ( 8, 15, 90.031)
      ( 8, 16, 24.896)
      ( 8, 17,  9.642)
      ( 8, 23,  6.067)
      ( 8, 24, 78.355)
      ( 9, 14, 20.366)
      ( 9, 18, 52.369)
      (10, 13, 46.901)
      (10, 15, 72.213)
      (10, 19, 16.325)
      (10, 22, 70.300)
      (11, 13, 62.026)
      (11, 15, 15.782)
      (11, 19, 77.101)
      (11, 21, 91.508)
      (11, 24,  0.438)
      (12, 13, 86.389)
      (12, 18, 85.320)
      (12, 19, 54.226)
      (12, 21, 44.816)
      (12, 23,  2.884)
      (13, 20, 95.538)
      (13, 21, 29.766)
      (14, 19, 97.197)
      (14, 20, 52.681)
      (14, 23, 23.531)
      (14, 24, 86.872)
      (15, 16, 51.283)
      (15, 17,  4.936)
      (15, 20, 92.790)
      (16, 22, 23.491)
      (16, 23, 57.459)
      (16, 24, 52.292)
      (17, 23, 11.308)
      (18, 19, 67.443)
      (18, 20, 73.756)
      (18, 22, 85.633)
      (19, 21,  7.072)
      (20, 23, 79.953)
      (21, 22, 90.778)
      (22, 24, 47.017) } |E|=101 
---------------- 

** G10: |V|=30
(u, v, weight) E = { 
      ( 0,  1, 95.392)
      ( 0,  2, 57.500)
      ( 0,  3, 34.799)
      ( 0,  5, 58.426)
      ( 0,  7,  5.068)
      ( 0,  9, 86.474)
      ( 0, 10, 19.227)
      ( 0, 11, 22.106)
      ( 0, 18, 69.374)
      ( 0, 19, 63.950)
      ( 0, 27, 50.796)
      ( 1,  8, 44.755)
      ( 1, 16, 47.566)
      ( 1, 28, 52.910)
      ( 2, 11, 20.893)
      ( 2, 12, 90.037)
      ( 2, 20, 97.999)
      ( 2, 22, 54.576)
      ( 3,  4, 45.080)
      ( 3,  5,  6.867)
      ( 3,  6, 80.936)
      ( 3, 12, 52.891)
      ( 3, 14, 10.647)
      ( 3, 15,  3.002)
      ( 3, 20, 11.146)
      ( 3, 24, 32.304)
      ( 4,  5, 44.102)
      ( 4, 12, 71.946)
      ( 4, 14, 96.765)
      ( 4, 15, 60.348)
      ( 4, 17, 89.388)
      ( 4, 19, 62.282)
      ( 4, 22, 28.646)
      ( 4, 23, 14.458)
      ( 4, 25, 74.628)
      ( 4, 26, 39.614)
      ( 4, 28, 77.268)
      ( 5,  6, 44.517)
      ( 5,  9, 62.224)
      ( 5, 10,  3.539)
      ( 5, 11,  0.522)
      ( 5, 13, 61.408)
      ( 5, 15, 64.687)
      ( 5, 18, 32.185)
      ( 5, 21, 56.099)
      ( 5, 27,  3.854)
      ( 5, 29, 66.478)
      ( 6,  8,  5.579)
      ( 6,  9, 98.838)
      ( 6, 12, 42.364)
      ( 6, 14, 89.626)
      ( 6, 15, 48.084)
      ( 6, 17, 89.090)
      ( 6, 20, 85.296)
      ( 6, 21, 72.779)
      ( 7,  8, 20.907)
      ( 7, 13, 43.183)
      ( 7, 14, 62.525)
      ( 7, 18, 56.207)
      ( 7, 21, 78.044)
      ( 7, 22,  3.196)
      ( 7, 23, 95.874)
      ( 7, 24, 97.717)
      ( 7, 26, 87.351)
      ( 7, 28, 40.995)
      ( 8, 12, 61.957)
      ( 8, 15, 10.158)
      ( 8, 16, 60.004)
      ( 8, 19,  9.181)
      ( 8, 21, 13.983)
      ( 8, 27, 34.443)
      ( 8, 28, 80.837)
      ( 9, 13, 43.317)
      ( 9, 15, 47.478)
      ( 9, 18, 89.979)
      ( 9, 20, 54.494)
      ( 9, 23, 25.635)
      ( 9, 25, 69.173)
      ( 9, 29, 76.214)
      (10, 18, 24.291)
      (10, 19, 46.411)
      (10, 20, 80.279)
      (10, 27,  6.205)
      (11, 12, 38.437)
      (11, 13, 18.699)
      (11, 15, 85.267)
      (11, 16, 17.827)
      (11, 20, 96.268)
      (11, 21, 32.503)
      (11, 23, 33.503)
      (12, 13, 46.910)
      (12, 14, 30.414)
      (12, 17, 38.468)
      (12, 18, 88.992)
      (12, 21, 24.405)
      (12, 24, 46.004)
      (12, 28, 99.678)
      (13, 19, 63.218)
      (13, 21, 89.384)
      (13, 24, 40.512)
      (13, 25, 35.805)
      (13, 27, 57.683)
      (13, 28, 18.187)
      (14, 17, 69.038)
      (14, 20, 32.993)
      (14, 23, 92.456)
      (14, 24,  8.891)
      (15, 16, 94.358)
      (15, 17, 36.062)
      (15, 22, 75.305)
      (15, 26,  9.328)
      (15, 28, 95.320)
      (15, 29, 60.148)
      (16, 17, 63.136)
      (16, 26, 91.092)
      (16, 27, 44.319)
      (16, 28, 54.848)
      (16, 29, 89.979)
      (17, 19, 79.616)
      (17, 21, 22.922)
      (17, 22, 48.109)
      (17, 28,  0.122)
      (17, 29, 70.070)
      (18, 24, 25.453)
      (19, 29, 78.655)
      (20, 24, 14.947)
      (20, 25, 91.068)
      (20, 26, 36.951)
      (20, 28, 17.858)
      (20, 29, 67.259)
      (21, 24, 66.203)
      (21, 27, 15.264)
      (21, 28, 31.512)
      (21, 29, 46.857)
      (22, 25, 54.644)
      (23, 24, 50.697)
      (23, 28, 23.919)
      (24, 28, 39.506)
      (25, 26, 67.846)
      (25, 27, 84.112)
      (26, 27, 65.803)
      (26, 29, 66.130)
      (27, 29, 45.916)
      (28, 29, 99.907) } |E|=144 
---------------- 

** G11: |V|=30
(u, v, weight) E = { 
      ( 0,  1, 68.290)
      ( 0,  2, 97.503)
      ( 0,  4, 17.023)
      ( 0,  6, 32.839)
      ( 0,  8, 98.851)
      ( 0, 19, 80.460)
      ( 0, 27, 61.673)
      ( 0, 29, 64.152)
      ( 1,  9, 25.045)
      ( 1, 10, 67.051)
      ( 1, 12, 61.171)
      ( 1, 13, 13.825)
      ( 1, 21, 82.527)
      ( 1, 22, 77.569)
      ( 1, 27, 21.664)
      ( 2,  3, 57.279)
      ( 2,  6, 95.154)
      ( 2,  7, 13.790)
      ( 2,  8, 41.470)
      ( 2, 13, 28.750)
      ( 2, 18, 33.763)
      ( 2, 19, 41.969)
      ( 2, 26, 89.712)
      ( 2, 28, 23.162)
      ( 3,  7, 48.225)
      ( 3, 10, 21.778)
      ( 3, 11, 62.023)
      ( 3, 12, 14.829)
      ( 3, 14, 91.824)
      ( 3, 17, 30.216)
      ( 3, 18, 22.320)
      ( 3, 22,  8.532)
      ( 3, 24, 16.048)
      ( 3, 26,  7.299)
      ( 3, 28, 56.699)
      ( 3, 29, 10.087)
      ( 4,  5, 65.605)
      ( 4,  7, 13.784)
      ( 4, 10, 72.971)
      ( 4, 13, 29.253)
      ( 4, 14, 75.744)
      ( 4, 17, 83.945)
      ( 4, 21, 96.983)
      ( 4, 24, 65.637)
      ( 4, 26,  3.533)
      ( 5,  9, 96.896)
      ( 5, 10, 61.710)
      ( 5, 12, 14.711)
      ( 5, 17, 46.811)
      ( 5, 18, 50.592)
      ( 5, 21, 16.483)
      ( 5, 27, 38.703)
      ( 6,  9, 52.697)
      ( 6, 10, 73.336)
      ( 6, 12, 23.270)
      ( 6, 16, 11.704)
      ( 6, 27, 12.626)
      ( 6, 29, 20.006)
      ( 7, 10, 38.115)
      ( 7, 14, 82.881)
      ( 7, 15, 20.221)
      ( 7, 24, 57.362)
      ( 7, 26,  3.602)
      ( 7, 28, 73.813)
      ( 7, 29, 54.712)
      ( 8, 11, 67.271)
      ( 8, 12, 38.781)
      ( 8, 14, 36.788)
      ( 8, 16, 84.587)
      ( 8, 23,  8.339)
      ( 8, 24, 50.869)
      ( 8, 29, 87.309)
      ( 9, 15, 48.428)
      ( 9, 16, 96.822)
      ( 9, 18, 85.634)
      ( 9, 20, 14.114)
      ( 9, 21, 52.330)
      ( 9, 23, 17.251)
      (10, 17,  6.393)
      (10, 21, 46.051)
      (10, 24, 74.233)
      (10, 26, 36.012)
      (11, 12,  8.480)
      (11, 13, 70.195)
      (11, 20, 12.179)
      (11, 26, 16.322)
      (11, 28, 25.673)
      (12, 15, 90.646)
      (12, 17, 13.091)
      (12, 21, 43.990)
      (12, 23,  7.278)
      (12, 25, 46.592)
      (13, 18, 66.988)
      (13, 20, 99.017)
      (13, 23, 97.358)
      (13, 25, 24.504)
      (13, 29, 68.539)
      (14, 16, 75.146)
      (14, 22, 63.648)
      (15, 21, 48.743)
      (15, 22, 44.826)
      (15, 25, 56.480)
      (16, 21, 20.134)
      (16, 23, 27.115)
      (16, 25, 39.466)
      (16, 26, 69.954)
      (16, 28, 49.582)
      (17, 20, 43.882)
      (17, 26, 24.580)
      (18, 23, 38.283)
      (18, 26, 81.180)
      (19, 25, 41.307)
      (19, 27, 79.346)
      (19, 29, 68.263)
      (20, 24, 70.838)
      (20, 28, 20.828)
      (21, 24, 14.641)
      (21, 26, 32.651)
      (21, 27, 38.991)
      (21, 28, 72.509)
      (21, 29, 44.921)
      (23, 28, 99.590)
      (25, 27, 66.809)
      (25, 29, 95.424)
      (26, 27, 14.265)
      (26, 28, 15.225)
      (28, 29,  9.354) } |E|=127 
---------------- 

** G12: |V|=35
(u, v, weight) E = { 
      ( 0,  1,  2.529)
      ( 0,  3, 61.582)
      ( 0,  5, 59.576)
      ( 0,  9, 59.323)
      ( 0, 10, 75.673)
      ( 0, 11,  9.239)
      ( 0, 13, 90.652)
      ( 0, 21, 28.121)
      ( 0, 23, 17.412)
      ( 0, 31,  6.730)
      ( 0, 32, 90.361)
      ( 0, 34, 92.614)
      ( 1,  2, 61.479)
      ( 1,  7, 72.924)
      ( 1, 11, 20.416)
      ( 1, 12, 48.568)
      ( 1, 18, 65.718)
      ( 1, 19, 74.146)
      ( 1, 24, 76.624)
      ( 1, 25, 87.160)
      ( 1, 30, 16.319)
      ( 1, 32, 48.135)
      ( 1, 33, 79.683)
      ( 1, 34, 48.498)
      ( 2,  7,  3.677)
      ( 2, 17, 62.859)
      ( 2, 18, 89.518)
      ( 2, 20, 85.409)
      ( 2, 21, 68.023)
      ( 2, 22, 50.300)
      ( 2, 25, 68.623)
      ( 3,  4, 41.259)
      ( 3,  6, 88.560)
      ( 3,  8, 79.951)
      ( 3, 13, 78.646)
      ( 3, 14, 51.855)
      ( 3, 18, 42.695)
      ( 3, 21, 98.944)
      ( 3, 23, 51.711)
      ( 3, 24, 97.675)
      ( 3, 26, 75.566)
      ( 3, 27,  5.325)
      ( 3, 28, 40.585)
      ( 3, 33, 95.308)
      ( 3, 34, 95.098)
      ( 4,  9, 33.369)
      ( 4, 13, 63.816)
      ( 4, 15, 16.702)
      ( 4, 17,  1.498)
      ( 4, 19, 70.743)
      ( 4, 21, 41.360)
      ( 4, 25, 40.747)
      ( 4, 26, 22.295)
      ( 4, 30,  3.791)
      ( 4, 32, 68.864)
      ( 5,  7, 97.984)
      ( 5,  9,  4.875)
      ( 5, 11, 84.793)
      ( 5, 17, 69.934)
      ( 5, 18, 85.061)
      ( 5, 25, 75.774)
      ( 5, 26,  8.740)
      ( 5, 31, 85.972)
      ( 6,  7, 20.841)
      ( 6,  9, 45.634)
      ( 6, 12, 39.582)
      ( 6, 16, 58.791)
      ( 6, 17, 61.647)
      ( 6, 19, 38.328)
      ( 6, 21, 28.837)
      ( 6, 23, 36.296)
      ( 6, 31, 63.302)
      ( 7, 14, 30.668)
      ( 7, 15, 15.425)
      ( 7, 16, 42.750)
      ( 7, 24, 15.125)
      ( 7, 29, 86.379)
      ( 7, 30, 65.546)
      ( 8, 14, 46.625)
      ( 8, 16, 57.933)
      ( 8, 23, 60.359)
      ( 8, 27, 61.433)
      ( 8, 29, 62.153)
      ( 8, 34,  0.331)
      ( 9, 10, 52.199)
      ( 9, 11, 74.088)
      ( 9, 15,  7.996)
      ( 9, 20,  9.560)
      ( 9, 23, 50.521)
      ( 9, 25,  4.110)
      ( 9, 26, 45.625)
      ( 9, 28, 69.151)
      (10, 11, 81.491)
      (10, 16, 58.206)
      (10, 18, 28.264)
      (10, 19, 35.149)
      (10, 26, 92.601)
      (10, 27, 97.183)
      (10, 31,  9.533)
      (10, 33, 68.832)
      (11, 14, 55.599)
      (11, 17, 74.588)
      (11, 19, 94.645)
      (11, 21, 16.961)
      (11, 23, 10.077)
      (11, 24, 31.350)
      (11, 28, 93.270)
      (11, 30, 28.411)
      (11, 31, 27.123)
      (11, 34, 77.469)
      (12, 18, 78.818)
      (12, 20, 41.487)
      (12, 23, 49.066)
      (12, 24, 13.258)
      (12, 29, 59.991)
      (12, 30, 93.127)
      (12, 31,  1.191)
      (12, 32,  1.777)
      (12, 34, 20.102)
      (13, 14, 10.647)
      (13, 17, 49.664)
      (13, 18, 33.777)
      (13, 22, 15.813)
      (13, 27, 23.425)
      (14, 17, 33.961)
      (14, 26,  7.707)
      (14, 27, 34.365)
      (14, 28, 96.003)
      (14, 30, 72.623)
      (14, 31, 57.749)
      (14, 33, 60.680)
      (15, 19, 69.520)
      (15, 21, 56.123)
      (15, 24, 62.403)
      (15, 28, 47.412)
      (15, 31, 36.627)
      (15, 32, 64.289)
      (16, 17, 99.701)
      (16, 18,  4.157)
      (16, 21, 62.393)
      (16, 24, 21.088)
      (16, 25, 15.827)
      (16, 26, 55.436)
      (16, 27, 69.926)
      (16, 32, 21.394)
      (16, 33, 72.223)
      (17, 20, 23.473)
      (17, 28,  6.908)
      (17, 31, 93.918)
      (17, 34, 36.145)
      (18, 29, 14.612)
      (18, 30, 80.389)
      (18, 31, 98.407)
      (18, 32, 78.999)
      (18, 34, 65.581)
      (19, 21, 94.140)
      (19, 22, 13.392)
      (19, 27, 25.687)
      (19, 29, 62.473)
      (19, 33, 85.709)
      (20, 23, 58.018)
      (20, 30, 24.915)
      (21, 22, 59.869)
      (21, 24, 57.652)
      (21, 29, 87.904)
      (21, 32, 41.759)
      (22, 26, 67.279)
      (22, 27, 85.810)
      (22, 29, 86.777)
      (22, 30, 67.870)
      (22, 33, 51.731)
      (23, 28, 66.765)
      (23, 29, 12.503)
      (23, 30, 85.463)
      (24, 28, 50.166)
      (25, 26, 19.797)
      (25, 27, 20.311)
      (25, 31, 85.509)
      (25, 33, 62.899)
      (25, 34,  8.733)
      (26, 28, 82.034)
      (26, 29, 56.373)
      (26, 33, 54.630)
      (27, 28,  4.235)
      (27, 30, 75.305)
      (30, 34, 16.609)
      (31, 33, 26.201)
      (32, 33, 84.777)
      (33, 34, 93.488) } |E|=189 
---------------- 

** G13: |V|=35
(u, v, weight) E = { 
      ( 0,  1,  2.113)
      ( 0,  2, 53.989)
      ( 0,  4,  1.888)
      ( 0,  5, 69.850)
      ( 0,  8, 84.705)
      ( 0,  9, 47.091)
      ( 0, 12, 42.421)
      ( 0, 21, 53.988)
      ( 0, 22, 60.683)
      ( 0, 23, 65.716)
      ( 0, 24, 99.417)
      ( 0, 25, 40.601)
      ( 0, 26, 86.525)
      ( 0, 27, 31.016)
      ( 0, 31, 55.190)
      ( 1,  3, 14.120)
      ( 1,  4, 43.512)
      ( 1,  7, 47.462)
      ( 1,  8, 17.379)
      ( 1, 10, 40.703)
      ( 1, 13, 88.354)
      ( 1, 14, 88.968)
      ( 1, 16, 95.427)
      ( 1, 19, 78.065)
      ( 1, 27, 47.239)
      ( 1, 34, 62.020)
      ( 2,  9, 52.797)
      ( 2, 10, 77.201)
      ( 2, 12, 77.723)
      ( 2, 14, 45.144)
      ( 2, 15, 10.991)
      ( 2, 17, 49.232)
      ( 2, 19, 59.356)
      ( 2, 21, 87.003)
      ( 2, 24, 84.892)
      ( 2, 28, 15.119)
      ( 2, 29, 65.699)
      ( 2, 32,  5.058)
      ( 3, 12, 45.244)
      ( 3, 13, 34.905)
      ( 3, 17, 55.534)
      ( 3, 19, 91.660)
      ( 3, 33, 46.163)
      ( 4,  6, 91.899)
      ( 4, 15, 37.032)
      ( 4, 20, 84.539)
      ( 5,  9, 52.812)
      ( 5, 10, 48.414)
      ( 5, 12, 42.780)
      ( 5, 15, 18.808)
      ( 5, 17, 76.333)
      ( 5, 24,  7.386)
      ( 5, 25, 44.000)
      ( 5, 26, 60.884)
      ( 5, 28, 30.472)
      ( 5, 31, 65.168)
      ( 6,  8, 66.783)
      ( 6,  9, 79.946)
      ( 6, 20, 90.270)
      ( 6, 21, 59.888)
      ( 6, 28, 37.181)
      ( 6, 29, 51.185)
      ( 6, 31, 33.631)
      ( 7, 10, 53.801)
      ( 7, 11, 80.931)
      ( 7, 21, 56.124)
      ( 7, 27, 99.771)
      ( 7, 33, 15.773)
      ( 7, 34, 84.688)
