30: Number of 30-Weighted-Directed-Graphs.

** G0: |V|=5
(u, v, weight) E = { 
      ( 6,  3, 47.346)
      ( 6,  4, 32.146)
      ( 6,  5, 41.376)
      ( 6,  7, 74.060)
      ( 7,  3,  8.921)
      ( 7,  5, 43.888)
      ( 7,  6, 31.972)
      ( 8,  0, 57.064)
      ( 8,  1, 38.263)
      ( 8,  6, 81.924)
      ( 8,  7, 95.125)
      ( 8,  9, 96.626)
      ( 9,  0, 12.259)
      ( 9,  1,  9.941)
      ( 9,  2, 94.033)
      ( 9,  4, 21.426)
      ( 9,  5,  6.689)
      ( 9,  6, 64.072)
      ( 9,  7, 15.592) } |E|=54 
---------------- 

** G4: |V|=15
(u, v, weight) E = { 
      ( 1,  2, 94.629)
      ( 2,  4, 37.097)
      ( 3,  6, 90.306)
      ( 3,  8, 42.489)
      ( 4, 12, 95.239)
      ( 5,  2, 28.196)
      ( 5,  9, 96.319)
      ( 6, 12, 97.822)
      ( 7, 10,  4.947)
      ( 8, 14, 34.468)
      ( 9,  0, 80.996)
      ( 9, 11, 95.688)
      ( 9, 12, 71.389)
      (10,  0, 58.419)
      (10,  2, 51.989)
      (10,  4, 52.518)
      (10, 12, 86.502)
      (11,  0, 46.099)
      (11,  7, 81.098)
      (12,  0, 34.908)
      (13,  0, 84.232)
      (13,  4,  3.997)
      (13,  5, 92.687)
      (14,  7, 97.195) } |E|=24 
---------------- 

** G5: |V|=15
(u, v, weight) E = { 
      ( 0,  9, 45.204)
      ( 0, 12, 45.119)
      ( 1,  0, 70.757)
      ( 1, 14, 17.262)
      ( 2,  0, 64.006)
      ( 2,  1,  9.337)
      ( 2,  6, 60.299)
      ( 2, 13, 62.572)
      ( 3,  0, 30.832)
      ( 4,  7, 93.732)
      ( 4, 12,  8.165)
      ( 5, 12, 56.831)
      ( 6,  3, 58.126)
      ( 6,  4, 86.861)
      ( 6,  7, 17.476)
      ( 6, 10,  0.845)
      ( 7,  1, 98.924)
      ( 9,  3, 68.708)
      ( 9,  6, 52.618)
      (10, 14, 39.622)
      (11,  2, 44.295)
      (12,  6, 68.180)
      (12,  7, 37.400)
      (12,  8, 54.627)
      (12, 10, 42.394)
      (13,  3, 84.193)
      (13,  6, 85.276)
      (13,  8, 99.597)
      (13, 14, 66.566)
      (14, 13, 67.485) } |E|=30 
---------------- 

** G6: |V|=20
(u, v, weight) E = { 
      ( 1,  8,  6.071)
      ( 1, 11, 20.562)
      ( 1, 12, 95.372)
      ( 1, 15, 80.252)
      ( 1, 17, 13.214)
      ( 1, 18, 89.981)
      ( 2,  6,  5.589)
      ( 3,  2, 38.574)
      ( 3, 19, 94.073)
      ( 4,  1, 48.837)
      ( 5, 11, 95.893)
      ( 5, 17, 68.474)
      ( 6,  5, 50.601)
      ( 7, 15,  8.398)
      ( 7, 19, 28.801)
      ( 8,  0, 99.546)
      ( 8,  1, 25.949)
      ( 8,  4, 71.809)
      ( 8,  5, 28.313)
      (10,  5, 28.114)
      (10,  9,  3.037)
      (10, 15, 46.992)
      (11,  2, 28.515)
      (11,  4, 42.059)
      (11,  7, 65.766)
      (11,  9, 71.886)
      (11, 14, 76.082)
      (13,  1,  7.166)
      (13,  8,  7.792)
      (14,  7, 15.608)
      (14, 16, 47.651)
      (14, 19, 63.764)
      (15, 17, 49.541)
      (16,  8, 51.099)
      (16, 17, 88.114)
      (17,  0, 94.377)
      (17,  2, 77.560)
      (18,  0, 22.425)
      (18,  9, 46.380)
      (18, 16, 16.785)
      (19,  2, 20.202)
      (19, 10, 66.338) } |E|=42 
---------------- 

** G7: |V|=20
(u, v, weight) E = { 
      ( 1,  2, 36.014)
      ( 1, 10, 13.067)
      ( 1, 11, 37.224)
      ( 1, 12, 82.402)
      ( 1, 16, 25.141)
      ( 3, 11, 64.032)
      ( 3, 19, 55.411)
      ( 4,  0,  5.042)
      ( 4, 10, 53.857)
      ( 6,  0, 43.896)
      ( 7,  4, 18.987)
      ( 7, 16, 57.737)
      ( 7, 19, 38.009)
      ( 8, 18,  6.645)
      ( 9,  3, 11.874)
      ( 9, 13, 11.506)
      ( 9, 17, 86.043)
      (10,  0, 15.251)
      (10, 17, 75.645)
      (11, 12, 55.973)
      (11, 15, 25.682)
      (12,  0, 99.465)
      (12, 18, 24.080)
      (12, 19, 84.696)
      (13, 10, 31.739)
      (14,  4, 48.886)
      (14, 11, 35.777)
      (15,  6, 16.072)
      (15, 19, 73.889)
      (16,  8, 71.087)
      (16, 14, 28.962)
      (18, 11, 67.356)
      (19,  4, 52.563) } |E|=33 
---------------- 

** G8: |V|=25
(u, v, weight) E = { 
      ( 0, 16, 38.465)
      ( 1,  2, 90.372)
      ( 1, 20,  1.479)
      ( 1, 24, 64.430)
      ( 3, 11, 32.054)
      ( 3, 14, 19.444)
      ( 3, 15, 10.072)
      ( 3, 20,  9.821)
      ( 4, 11, 14.882)
      ( 4, 12, 53.447)
      ( 4, 17, 79.899)
      ( 4, 20, 94.362)
      ( 4, 24, 66.118)
      ( 5,  0, 68.687)
      ( 5,  2, 95.970)
      ( 6,  7, 53.564)
      ( 6, 11, 85.783)
      ( 6, 15, 28.673)
      ( 6, 22, 64.915)
      ( 7, 10, 67.618)
      ( 8, 12, 71.880)
      ( 8, 17, 59.967)
      ( 9, 15,  1.653)
      (10,  0, 99.476)
      (10, 14, 53.894)
      (10, 16, 31.757)
      (11,  4, 48.270)
      (12, 13, 49.566)
      (12, 19, 80.834)
      (14,  5, 98.535)
      (14,  6, 92.472)
      (14,  8, 44.334)
      (14, 10, 52.214)
      (14, 12, 71.206)
      (14, 13, 17.391)
      (14, 20, 62.313)
      (14, 21,  8.172)
      (14, 22, 37.062)
      (15, 18, 51.594)
      (15, 22,  5.084)
      (16,  1, 81.594)
      (16, 19, 82.977)
      (17,  3, 85.830)
      (19, 15, 25.735)
      (19, 24, 52.442)
      (20, 11, 63.484)
      (20, 16, 78.744)
      (21,  6, 95.806)
      (21, 12, 12.863)
      (23, 11, 85.770)
      (23, 12, 56.409)
      (23, 22, 17.343)
      (24,  3, 39.003)
      (24,  4,  2.410)
      (24, 17, 12.471)
      (24, 23,  7.585) } |E|=56 
---------------- 

** G9: |V|=25
(u, v, weight) E = { 
      ( 1,  5, 98.536)
      ( 1, 13, 46.714)
      ( 1, 14, 23.085)
      ( 1, 19, 24.625)
      ( 1, 22, 50.194)
      ( 1, 23, 55.295)
      ( 2,  1, 16.637)
      ( 2, 10,  2.289)
      ( 2, 11, 23.181)
      ( 2, 16, 83.029)
      ( 2, 24,  0.035)
      ( 3,  9, 60.290)
      ( 3, 15, 55.116)
      ( 3, 20, 21.313)
      ( 3, 22, 10.769)
      ( 5,  1, 36.693)
      ( 6,  7,  1.055)
      ( 6, 14, 33.984)
      ( 6, 15, 55.565)
      ( 6, 16, 33.874)
      ( 6, 21, 85.467)
      ( 6, 22, 78.347)
      ( 7,  3, 45.779)
      ( 7,  4, 61.242)
      ( 7, 22, 75.269)
      ( 7, 23, 46.025)
      ( 8, 10, 76.187)
      ( 8, 15, 42.245)
      ( 9,  0, 14.709)
      (10,  1, 66.219)
      (10, 23, 82.590)
      (11,  1, 75.043)
      (11,  6,  8.165)
      (11,  8, 18.451)
      (12,  3, 51.070)
      (14,  2, 41.118)
      (14,  8, 50.712)
      (14, 15, 65.356)
      (15, 17, 80.796)
      (16,  1, 75.258)
      (16, 17,  9.774)
      (16, 18, 95.560)
      (18,  1, 97.567)
      (18,  9, 42.156)
      (19,  0, 87.032)
      (19,  9, 58.403)
      (19, 12, 76.638)
      (19, 18, 81.994)
      (19, 22, 97.575)
      (20,  9,  4.662)
      (20, 19,  6.856)
      (21,  3, 74.523)
      (21,  4, 40.508)
      (21,  6, 91.608)
      (21, 12, 59.957)
      (21, 16, 97.509)
      (21, 18, 10.680)
      (21, 20, 40.692)
      (22, 11, 37.561)
      (23, 19,  2.216)
      (24,  2, 33.794)
      (24,  8, 82.178) } |E|=62 
---------------- 

** G10: |V|=30
(u, v, weight) E = { 
      ( 0, 15, 94.728)
      ( 1,  3, 87.761)
      ( 1,  5, 56.910)
      ( 1,  9, 47.048)
      ( 1, 16, 34.672)
      ( 2,  1, 93.847)
      ( 2,  3, 15.839)
      ( 2, 23, 30.963)
      ( 3,  7, 73.931)
      ( 3,  9, 38.871)
      ( 4, 18, 53.092)
      ( 4, 22, 45.761)
      ( 5,  0, 60.559)
      ( 5, 27, 55.119)
      ( 6, 14, 77.292)
      ( 6, 22, 11.527)
      ( 6, 26, 44.096)
      ( 7, 11, 62.781)
      ( 7, 12, 25.370)
      ( 7, 18, 97.968)
      ( 7, 26, 21.807)
      ( 8, 20, 91.484)
      ( 8, 23, 47.955)
      ( 8, 26, 34.399)
      ( 9,  5, 56.489)
      ( 9, 15, 42.135)
      (11,  9, 43.998)
      (12, 10, 50.513)
      (12, 11,  6.127)
      (12, 15, 14.679)
      (12, 18,  0.832)
      (13,  5, 76.810)
      (13,  9, 32.647)
      (13, 10, 17.091)
      (13, 23, 54.207)
      (15,  9, 11.954)
      (15, 16, 22.869)
      (15, 23, 51.553)
      (16,  7, 84.282)
      (16, 11, 70.831)
      (16, 21, 43.276)
      (16, 22, 69.057)
      (17, 29, 74.627)
      (18,  8, 23.284)
      (18, 17, 73.281)
      (19, 18, 20.932)
      (20,  3, 29.903)
      (21,  7, 73.957)
      (21,  8, 23.260)
      (21,  9, 18.339)
      (21, 25, 38.343)
      (22,  7, 34.386)
      (22, 19, 93.498)
      (23, 14, 75.240)
      (23, 25,  8.515)
      (24, 17, 18.977)
      (24, 18, 91.397)
      (24, 22, 24.974)
      (25,  3, 49.472)
      (25,  9, 93.489)
      (25, 18, 47.612)
      (25, 21, 54.356)
      (26, 12, 96.248)
      (27,  4, 56.777)
      (27, 18, 19.927)
      (27, 20, 64.574)
      (27, 25, 35.066)
      (28, 11, 94.488)
      (28, 21, 35.694)
      (29, 12, 77.091)
      (29, 15, 74.545)
      (29, 18, 39.300)
      (29, 23, 72.763) } |E|=73 
---------------- 

** G11: |V|=30
(u, v, weight) E = { 
      ( 0, 11, 17.442)
      ( 0, 26, 71.199)
      ( 1, 25, 78.111)
      ( 1, 26, 90.252)
      ( 1, 28, 92.935)
      ( 2,  7, 50.014)
      ( 3, 29, 44.522)
      ( 4, 23, 45.365)
      ( 4, 26, 42.681)
      ( 5, 17, 77.558)
      ( 6,  8, 33.747)
      ( 6, 17, 17.555)
      ( 6, 26, 77.719)
      ( 6, 29, 22.603)
      ( 7,  0,  0.712)
      ( 7,  2, 80.415)
      ( 7, 11, 84.258)
      ( 8,  1, 80.521)
      ( 8, 12, 63.224)
      ( 8, 13, 81.704)
      ( 8, 15, 75.531)
      ( 8, 20, 30.793)
      ( 9,  0, 21.729)
      ( 9,  3, 48.657)
      ( 9, 16, 33.771)
      ( 9, 20, 50.383)
      ( 9, 28, 33.101)
      (10, 11, 59.180)
      (11, 10, 51.257)
      (11, 21, 80.004)
      (11, 24, 28.275)
      (11, 25, 27.675)
      (11, 29, 32.395)
      (12, 11, 11.174)
      (12, 23, 96.189)
      (13,  1, 65.730)
      (13, 15, 59.046)
      (14,  4, 16.508)
      (14, 10,  4.357)
      (15,  9, 39.629)
      (16, 21, 63.553)
      (16, 28, 24.549)
      (17, 12, 65.790)
      (17, 25, 74.903)
      (17, 29, 43.067)
      (19,  4, 67.255)
      (19,  6, 99.142)
      (19, 16, 76.256)
      (19, 17, 56.238)
      (19, 29, 29.285)
      (20, 19, 25.550)
      (21,  5, 73.930)
      (21, 15, 41.620)
      (21, 27, 14.266)
      (21, 28, 58.806)
      (22,  4,  0.142)
      (22, 28, 67.440)
      (23, 14, 36.158)
      (23, 15, 58.743)
      (23, 18, 23.133)
      (24,  0, 42.408)
      (24, 14,  4.261)
      (24, 15, 67.567)
      (24, 28, 25.878)
      (25,  0, 72.027)
      (25,  1, 66.491)
      (25,  3, 18.445)
      (25,  6, 34.396)
      (25, 11, 32.373)
      (25, 27, 41.131)
      (26,  0, 72.664)
      (26,  1, 36.680)
      (26,  6, 56.044)
      (26,  9, 89.739)
      (26, 23,  0.897)
      (26, 24, 85.790)
      (27,  0, 41.864)
      (27, 16, 26.034)
      (28, 12, 34.455)
      (28, 25, 82.615)
      (29,  4, 93.186)
      (29, 15, 73.404) } |E|=82 
---------------- 

** G12: |V|=35
(u, v, weight) E = { 
      ( 0,  3,  5.638)
      ( 0,  6, 25.497)
      ( 0,  9,  7.149)
      ( 0, 12, 70.265)
      ( 0, 13, 72.377)
      ( 0, 29, 32.532)
      ( 1,  8, 79.795)
      ( 1, 29, 60.388)
      ( 2, 14, 29.906)
      ( 2, 18, 90.224)
      ( 3,  5, 67.673)
      ( 3,  8, 90.652)
      ( 3, 10, 39.381)
      ( 3, 19,  4.354)
      ( 3, 21, 11.857)
      ( 4,  2,  2.484)
      ( 4,  8, 47.897)
      ( 4, 13, 47.599)
      ( 4, 21, 84.781)
      ( 4, 28, 90.415)
      ( 5, 10, 74.719)
      ( 5, 15, 34.104)
      ( 5, 20, 45.624)
      ( 5, 22, 96.716)
      ( 5, 26, 28.227)
      ( 6,  2, 69.349)
      ( 6,  3,  3.538)
      ( 6, 19, 12.208)
      ( 6, 30, 41.155)
      ( 7,  1, 34.275)
      ( 7,  9, 25.396)
      ( 7, 12, 13.769)
      ( 7, 13, 50.749)
      ( 7, 15, 69.064)
      ( 7, 16, 88.677)
      (10, 15, 15.867)
      (10, 27, 96.582)
      (10, 32, 67.377)
      (11,  0, 60.449)
      (11,  2, 42.959)
      (11,  5, 88.382)
      (11, 12, 33.112)
      (11, 20, 56.450)
      (11, 29, 79.160)
      (11, 30, 28.664)
      (11, 31, 39.227)
      (12, 17, 40.512)
      (12, 18, 87.555)
      (13, 11, 67.716)
      (13, 16, 31.667)
      (13, 19, 59.572)
      (13, 25, 18.240)
      (13, 34, 17.972)
      (14, 15, 21.412)
      (14, 31, 99.474)
      (15, 12,  9.071)
      (15, 13, 73.552)
      (16,  3,  7.639)
      (16,  6, 46.590)
      (16, 17, 64.295)
      (16, 28, 46.476)
      (17,  2, 29.607)
      (17,  3, 99.930)
      (17,  4, 27.967)
      (17,  5, 23.923)
      (17,  8, 86.395)
      (17, 20,  1.817)
      (17, 21, 14.552)
      (17, 24, 49.159)
      (17, 31, 96.264)
      (18,  3, 81.271)
      (18,  8, 94.699)
      (18, 16, 73.261)
      (18, 20, 94.137)
      (18, 23, 28.968)
      (18, 31, 95.509)
      (18, 32, 55.703)
      (19, 22, 35.043)
      (20,  1,  2.954)
      (20, 22, 48.819)
      (21,  6, 28.195)
      (21,  9, 64.267)
      (21, 13, 93.774)
      (21, 26, 77.277)
      (21, 29, 17.585)
      (22,  6,  3.759)
      (22, 10, 29.078)
      (22, 11,  7.032)
      (22, 28, 68.546)
      (22, 32, 58.213)
      (23, 11, 84.955)
      (23, 14, 66.441)
      (23, 31,  2.702)
      (24, 22, 53.998)
      (25,  0, 47.695)
      (25,  9, 45.688)
      (25, 23, 95.864)
      (26, 13, 33.493)
      (26, 20, 13.595)
      (26, 25, 32.724)
      (27,  5, 27.159)
      (27, 32, 78.780)
      (28,  7,  4.404)
      (28,  9, 52.556)
      (28, 16, 25.758)
      (28, 18, 47.291)
      (28, 31,  4.991)
      (29,  2, 66.316)
      (29, 12, 52.507)
      (29, 16, 48.154)
      (29, 18, 14.041)
      (29, 26, 17.480)
      (30,  0, 67.504)
      (30,  2, 19.176)
      (30,  6, 29.245)
      (30,  7, 52.189)
      (30,  8, 35.697)
      (30, 13, 45.936)
      (30, 18, 99.271)
      (30, 23, 22.542)
      (30, 27, 76.582)
      (30, 28, 67.285)
      (30, 29,  1.435)
      (31,  6, 42.425)
      (31, 29, 52.838)
      (31, 34, 62.178)
      (33, 18, 94.201)
      (33, 23, 46.080)
      (33, 27, 73.012)
      (34, 14,  6.628)
      (34, 19,  8.396)
      (34, 23, 43.768) } |E|=132 
---------------- 

** G13: |V|=35
(u, v, weight) E = { 
      ( 0, 16,  6.916)
      ( 1,  7, 36.292)
      ( 1,  8, 86.461)
      ( 1, 17, 31.316)
      ( 1, 29, 50.577)
      ( 2,  3, 94.431)
      ( 2,  7,  4.435)
      ( 2,  8, 52.015)
      ( 2, 22, 92.780)
      ( 2, 27, 77.950)
      ( 2, 29, 82.490)
      ( 2, 30, 89.831)
      ( 2, 31, 39.493)
      ( 2, 33, 23.168)
      ( 3,  0,  6.391)
      ( 3, 15, 92.849)
      ( 3, 26, 27.401)
      ( 3, 27, 82.259)
      ( 4,  9, 83.444)
      ( 4, 20, 25.126)
      ( 5,  1, 25.937)
      ( 5,  8, 71.093)
      ( 5, 18, 67.536)
      ( 5, 26, 41.324)
      ( 6,  5, 84.350)
      ( 6, 14, 72.860)
      ( 6, 16,  8.252)
      ( 7,  0, 23.601)
      ( 7,  2,  4.495)
      ( 7,  3, 37.519)
      ( 7, 22, 91.091)
      ( 7, 25, 39.864)
      ( 7, 26,  4.338)
      ( 8,  0, 43.220)
      ( 8, 27, 32.495)
      ( 9,  8, 79.091)
      ( 9, 16, 15.249)
      ( 9, 21, 66.924)
      (10,  1, 44.351)
      (10,  4, 56.739)
      (10, 24, 18.258)
      (10, 29, 84.975)
      (11, 14, 19.188)
      (11, 25,  0.909)
      (12,  1,  0.659)
      (12,  6, 64.895)
      (13,  5, 52.723)
      (13, 11, 65.019)
      (13, 14, 77.953)
      (13, 19, 33.886)
      (13, 22, 83.394)
      (13, 24, 88.887)
      (14,  2, 10.117)
      (14,  6, 91.590)
      (14,  7, 78.278)
      (14,  8, 43.724)
      (14, 31, 13.423)
      (15,  3,  9.696)
      (15,  5, 61.247)
      (15, 20, 21.397)
      (16,  5, 75.417)
      (16, 18, 82.914)
      (16, 25,  1.940)
      (17,  2, 90.341)
      (17,  3, 78.792)
      (17, 13, 52.630)
      (17, 25, 30.149)
      (18,  0, 79.506)
      (18,  8, 61.859)
      (18, 10, 63.639)
      (18, 17, 81.015)
      (18, 23, 33.537)
      (19,  9, 19.240)
      (19, 12, 43.586)
      (19, 13, 87.105)
      (19, 18, 81.589)
      (19, 21, 74.761)
      (19, 32, 16.688)
      (20,  1, 17.544)
      (20,  6, 13.789)
      (20, 24, 69.251)
      (21,  1, 46.491)
      (21,  4, 73.657)
      (21,  7, 45.866)
      (21, 26,  8.449)
      (22,  0, 66.022)
      (22, 20, 59.864)
      (22, 27, 90.935)
      (23,  4, 37.937)
      (23, 15, 41.076)
      (23, 19, 41.246)
      (24,  7,  4.226)
      (24,  9, 84.730)
      (24, 11,  3.751)
      (24, 13, 42.479)
      (25,  4, 38.394)
      (25, 13, 72.758)
      (25, 14, 91.706)
      (25, 32, 76.015)
      (26,  3, 90.870)
      (26,  6, 45.764)
      (26,  7, 92.042)
      (26, 19, 77.830)
      (26, 25, 31.330)
      (26, 28, 82.468)
      (27,  0,  6.636)
      (27,  7, 82.124)
      (27, 10, 92.128)
      (27, 17, 51.996)
      (27, 33, 58.329)
      (28,  1, 44.322)
      (28, 10, 66.161)
      (28, 20, 97.491)
      (28, 23, 57.761)
      (28, 33, 19.746)
      (29,  2, 16.549)
      (29, 11, 26.209)
      (29, 19, 94.152)
      (29, 24, 81.401)
      (29, 30, 33.662)
      (30,  3,  7.748)
      (30, 11, 58.854)
      (30, 15, 16.720)
      (31, 14, 24.341)
      (31, 34, 19.282)
      (32,  7, 51.622)
      (32, 20, 84.541)
      (32, 24, 33.624)
      (32, 26, 42.791)
      (32, 30, 68.529)
      (33,  5, 36.965)
      (33, 10,  7.720)
      (33, 27, 34.994)
      (33, 29, 63.266)
      (34,  0, 48.658)
      (34, 24, 22.144) } |E|=136 
---------------- 

** G14: |V|=40
(u, v, weight) E = { 
      ( 0, 31, 80.592)
      ( 0, 34, 50.130)
      ( 0, 35, 86.005)
      ( 1,  3,  5.514)
      ( 1, 12, 59.900)
      ( 1, 16, 66.683)
      ( 1, 31, 76.815)
      ( 2,  6, 57.792)
      ( 2, 10, 41.120)
      ( 2, 17, 93.032)
      ( 2, 18, 79.000)
      ( 3,  7,  8.641)
      ( 3, 16, 56.118)
      ( 3, 19, 85.888)
      ( 4,  3,  6.204)
      ( 4,  8, 94.624)
      ( 4, 17, 83.696)
      ( 4, 21, 57.193)
      ( 4, 39, 45.638)
      ( 5,  0, 18.876)
      ( 5,  1, 65.656)
      ( 5, 39,  9.029)
      ( 6, 17, 43.442)
      ( 6, 20, 10.007)
      ( 6, 26,  2.189)
      ( 7,  4, 36.269)
      ( 7, 11, 32.517)
      ( 7, 26, 19.019)
      ( 7, 30,  9.973)
      ( 7, 35, 52.431)
      ( 7, 36, 79.440)
      ( 8,  0, 19.981)
      ( 8, 17, 66.812)
      ( 8, 31, 69.537)
      ( 8, 36, 52.712)
      ( 8, 39,  5.471)
      ( 9, 11, 40.296)
      ( 9, 15, 31.944)
      ( 9, 17, 87.544)
      ( 9, 32, 85.658)
      ( 9, 35, 23.125)
      ( 9, 37, 93.336)
      ( 9, 39, 46.130)
      (10,  9, 81.837)
      (10, 20,  7.057)
      (10, 31,  4.544)
      (10, 32, 57.530)
      (10, 34, 91.895)
      (10, 35, 35.141)
      (11,  0, 43.045)
      (11,  8, 38.181)
      (11, 22,  3.514)
      (11, 24, 63.710)
      (11, 32, 68.895)
      (11, 34, 83.439)
      (11, 39, 36.202)
      (12, 20, 25.126)
      (12, 22, 58.298)
      (13, 17, 39.886)
      (13, 18, 30.231)
      (13, 19, 93.152)
      (13, 32, 98.408)
      (13, 35, 36.524)
      (14,  2, 34.495)
      (14,  7, 13.627)
      (14, 11, 78.088)
      (14, 18, 49.060)
      (14, 36, 42.386)
      (15, 10, 84.950)
      (15, 17, 51.953)
      (15, 31, 83.062)
      (15, 38, 52.935)
      (15, 39,  7.501)
      (16,  2,  5.397)
      (16,  5, 85.732)
      (16, 19, 19.411)
      (16, 23,  9.211)
      (16, 39, 78.953)
      (17,  1, 57.937)
      (17,  2, 86.387)
      (17, 19,  3.465)
      (17, 25, 79.740)
      (17, 29, 75.949)
      (17, 30, 26.450)
      (17, 39, 62.698)
      (18,  3, 20.037)
      (18, 39, 52.136)
      (19, 12, 43.722)
      (19, 20, 68.735)
      (19, 23, 11.527)
      (19, 25, 44.049)
      (19, 26, 19.692)
      (19, 35, 57.748)
      (20,  9, 26.462)
      (20, 24, 44.431)
      (20, 35, 95.918)
      (21,  4, 63.188)
      (21,  7, 58.305)
      (21, 18, 80.613)
      (21, 20, 50.948)
      (21, 30,  6.882)
      (21, 31, 32.206)
      (21, 36, 80.579)
      (22,  1, 44.146)
      (22,  7, 62.951)
      (22, 14, 58.561)
      (22, 24, 74.611)
      (22, 26, 91.938)
      (23, 10, 21.969)
      (24,  9, 91.144)
      (24, 14, 28.555)
      (24, 17, 52.607)
      (24, 23, 43.264)
      (24, 26, 20.582)
      (24, 32, 51.384)
      (24, 37, 35.277)
      (25, 10, 33.173)
      (25, 18, 93.343)
      (25, 26,  2.651)
      (26,  0, 28.580)
      (26,  7, 22.029)
      (26, 11, 21.943)
      (26, 12, 22.412)
      (26, 22,  2.419)
      (26, 37, 37.103)
      (27, 21, 33.370)
      (27, 30, 18.874)
      (28,  0, 29.478)
      (28, 24,  1.244)
      (28, 31,  9.930)
      (28, 39, 30.940)
      (29, 15, 46.959)
      (29, 27, 46.219)
      (29, 38, 66.310)
      (30,  0,  4.810)
      (30,  1, 50.215)
      (30,  4, 32.834)
      (30, 20, 35.230)
      (30, 22, 25.058)
      (31, 18, 25.463)
      (32, 11, 73.600)
      (32, 31,  9.297)
      (32, 36, 15.575)
      (32, 39, 11.637)
      (33, 11,  3.399)
      (33, 18, 56.256)
      (33, 21,  6.392)
      (33, 22, 84.374)
      (33, 24, 53.574)
      (33, 32, 96.721)
      (33, 36, 36.711)
      (34,  7, 27.902)
      (34, 12, 12.317)
      (34, 23, 54.681)
      (34, 31,  9.454)
      (35,  0, 47.753)
      (35,  1, 32.861)
      (35, 16,  9.543)
      (35, 21, 56.547)
      (35, 31, 54.345)
      (36,  6, 55.006)
      (37, 14, 41.403)
      (38,  2,  4.709)
      (38, 17, 87.453)
      (38, 18, 77.198)
      (38, 29, 75.446)
      (38, 34, 16.549)
      (38, 37, 76.151)
      (39,  2, 35.303)
      (39,  6, 89.633)
      (39, 24, 16.642) } |E|=171 
---------------- 

** G15: |V|=40
(u, v, weight) E = { 
